Job Title Clean,Percent,Level
Senior Data Analyst,65,Senior
Senior Data Analyst,30,Entry
Senior Data Analyst,2,Manager
Senior Data Analyst,1,VP
Marketing/Advertising Analytics Consultant,40,Senior
Marketing/Advertising Analytics Consultant,30,Entry
Marketing/Advertising Analytics Consultant,5,Manager
Business Intelligence Engineer,41,Senior
Business Intelligence Engineer,41,Entry
Business Intelligence Researcher,45,Entry
Business Intelligence Researcher,40,Senior
Business Intelligence Researcher,2,Manager
Business Intelligence Researcher,1,CXO
AI and Data Science Engineer II,61,Entry
AI and Data Science Engineer II,20,Senior
"Forward Deployed Engineer, Microsoft AI & Data",59,Entry
"Forward Deployed Engineer, Microsoft AI & Data",27,Senior
Analytics and Insights Engineer III,59,Senior
Analytics and Insights Engineer III,30,Entry
Analytics and Insights Engineer III,3,Manager
Analytics and Insights Engineer III,1,VP
Growth Consultant,52,Senior
Growth Consultant,29,Entry
Growth Consultant,4,Director
Growth Consultant,4,Manager
Management Consultant,55,Senior
Management Consultant,19,Entry
Management Consultant,6,Manager
Management Consultant,1,CXO
AI & Data Decision Science Consultant,49,Entry
AI & Data Decision Science Consultant,40,Senior
AI & Data Decision Science Consultant,1,CXO
"Strategy Manager, Technology & AI-Native Companies",46,Senior
"Strategy Manager, Technology & AI-Native Companies",11,Entry
"Strategy Manager, Technology & AI-Native Companies",9,Manager
"Strategy Manager, Technology & AI-Native Companies",3,CXO
AI-First Transformation Strategy Consultant,33,Senior
AI-First Transformation Strategy Consultant,31,Entry
AI-First Transformation Strategy Consultant,4,Manager
AI-First Transformation Strategy Consultant,2,CXO
Associate Data Scientist 2027,54,Entry
Associate Data Scientist 2027,19,Senior
Associate Data Scientist 2027,1,Director
Associate Data Scientist 2027,1,Manager
Advisory Data Scientist,56,Entry
Advisory Data Scientist,33,Senior
Advisory Data Scientist,2,Manager
"Consultant, Data & AI Engineer",73,Senior
"Consultant, Data & AI Engineer",18,Entry
"Reporting Analyst, Entry Level 2027",41,Entry
"Reporting Analyst, Entry Level 2027",38,Senior
"Reporting Analyst, Entry Level 2027",4,Director
"Reporting Analyst, Entry Level 2027",1,CXO
